bell_curve_freq,switch_wins_counting_list,stay_wins_counting_list,random_wins_counting_list,exp_index,switch_winning_percentages,stay_winning_percentages,random_winning_percentages,stay_winning_percent.,pie_chart_measures,,,trial
34.9,132369,66142,99339,198000,66.6,34.9,51.4,,,,,199
34.3,133065,66485,99831,199000,69.6,34.3,49.2,,,,,200
30.5,133719,66790,100323,200000,65.4,30.5,49.2,,,,,201
32,134407,67110,100793,201000,68.8,32,47,,,,,202
31,135083,67420,101297,202000,67.6,31,50.4,,,,,203
35.4,135747,67774,101784,203000,66.4,35.4,48.7,,,,,204
33.6,136429,68110,102284,204000,68.2,33.6,50,,,,,205
34.1,137119,68451,102792,205000,69,34.1,50.8,,,,,206
32.4,137774,68775,103305,206000,65.5,32.4,51.3,,,,,207
33.9,138435,69114,103799,207000,66.1,33.9,49.4,,,,,208
35.9,139097,69473,104280,208000,66.2,35.9,48.1,,,,,209
33.2,139765,69805,104772,209000,66.8,33.2,49.2,,,,,210
34.6,140433,70151,105267,210000,66.8,34.6,49.5,,,,,211
33.5,141092,70486,105788,211000,65.9,33.5,52.1,,,,,212
34.6,141746,70832,106287,212000,65.4,34.6,49.9,,,,,213
34.8,142418,71180,106793,213000,67.2,34.8,50.6,,,,,214
33.8,143099,71518,107301,214000,68.1,33.8,50.8,,,,,215
33.5,143746,71853,107787,215000,64.7,33.5,48.6,,,,,216
32.9,144405,72182,108274,216000,65.9,32.9,48.7,,,,,217
33.5,145066,72517,108815,217000,66.1,33.5,54.1,,,,,218
31,145717,72827,109299,218000,65.1,31,48.4,,,,,219
31.7,146394,73144,109804,219000,67.7,31.7,50.5,,,,,220
33.1,147065,73475,110293,220000,67.1,33.1,48.9,,,,,221
31.8,147736,73793,110812,221000,67.1,31.8,51.9,,,,,222
33.4,148391,74127,111324,222000,65.5,33.4,51.2,,,,,223
33,149054,74457,111813,223000,66.3,33,48.9,,,,,224
34.5,149743,74802,112322,224000,68.9,34.5,50.9,,,,,225
32.6,150418,75128,112818,225000,67.5,32.6,49.6,,,,,226
35.4,151091,75482,113308,226000,67.3,35.4,49,,,,,227
33.8,151769,75820,113798,227000,67.8,33.8,49,,,,,228
32.1,152434,76141,114300,228000,66.5,32.1,50.2,,,,,229
33.9,153108,76480,114818,229000,67.4,33.9,51.8,,,,,230
33.4,153789,76814,115302,230000,68.1,33.4,48.4,,,,,231
32,154441,77134,115774,231000,65.2,32,47.2,,,,,232
31.8,155112,77452,116297,232000,67.1,31.8,52.3,,,,,233
34.6,155794,77798,116799,233000,68.2,34.6,50.2,,,,,234
34.1,156450,78139,117314,234000,65.6,34.1,51.5,,,,,235
35.3,157121,78492,117806,235000,67.1,35.3,49.2,,,,,236
30.6,157790,78798,118303,236000,66.9,30.6,49.7,,,,,237
33.8,158473,79136,118790,237000,68.3,33.8,48.7,,,,,238
33.8,159135,79474,119308,238000,66.2,33.8,51.8,,,,,239
37.5,159797,79849,119811,239000,66.2,37.5,50.3,,,,,240
34.4,160457,80193,120334,240000,66,34.4,52.3,,,,,241
